pop,country,source,lat,long
Amakusa,Japan,kag,32.294101,130.173582
Atsumi Peninsula,Japan,tok,34.689028,137.213472
Boundary Bay,Canada,PNW,49.007418,-123.033322
Hachinohe,Japan,hon,40.560435,141.501177
Hakodate,Japan,hok,41.795049,140.710577
Hiroshima,Japan,sea,34.35445,132.407081
Hitachinaka,Japan,hon,36.399848,140.614541
Lago di Sabaudia,Italy,EU,41.262849,13.028559
Lago Fusaro,Italy,EU,40.818779,14.050359
Laguna di Orbetello,Italy,EU,42.430591,11.197302
Latina,Italy,EU,41.413064,12.837185
Le Barcarès,France,EU,42.809764,3.023064
Mangokuura,Japan,hon,38.418102,141.38455
Matsushima Bay,Japan,hon,38.332336,141.0971
Minamisatsuma,Japan,kag,31.350519,130.178049
Pléneuf-val-André,France,EU,48.590849,-2.556655
Po Delta (Piallassa Baiona,Italy,EU,44.964153,12.438254
Pontevedra,Spain,EU,42.424103,-8.665867
Sado Island,Japan,nonSource,37.970771,138.312186
Sagami Bay,Japan,tok,35.312625,139.454576
San Francisco Bay,California,Cali,37.756716,-122.354988
San Juan Islands,Washington,PNW,48.504366,-123.013125
Souma,Japan,hon,37.817642,140.978776
Tokyo Bay,Japan,tok,35.337347,139.816625
Tomales Bay,California,Cali,38.191401,-122.934946
Uchiura Bay,Japan,hok,42.358643,140.917436
