simdir, species
battr, Batillaria_attramentaria
battrHL1,Cercaria_batillaria_HL1 
battrHL6,Cercaria_batillaria_HL6
dide,  Didemnum_vexillum 
goby, Acanthogobius_flavimanus 
gvermMTDNA,  Gracilaria_vermiculophylla_mtDNA
gvermSNP, Gracilaria_vermiculophylla_SNP
gvermSSR, Gracilaria_vermiculophylla_SSR
hami, Haminoea_japonica  
hsanguineus,  Hemigrapsus_sanguineus
htakanoi,  Hemigrapsus_takanoi 
muti,  Mutimo_cylindricus 
pala,   Palaemon_macrodactylus
ulva,  Ulva_pertusa
upinn, Undaria_pinnatifida
polyd, Polydora_hoplura

