,n,reg
Asamushi Japan,17,hon
Ise Bay Japan,1,tok
Izu Peninsula Japan,9,tok
Misaki Japan,19,tok
Otsuchi Bay Japan,2,hon
Shizugawa Japan,20,hon
Sugashima Japan,16,tok
Usujiri Fisheries Station Japan,7,hok
Agamemnon Channel BC,3,NAm_north
Arcachon France,3,EuropeSouth
Bodega Bay CA,2,NAm_south
Bremerton WA,1,NAm_north
Brest France,2,EuropeSouth
Camaret-sur-Mer France,1,EuropeSouth
Concarneau France,2,EuropeSouth
Cortes Island BC,2,NAm_north
Dabob Bay WA,2,NAm_north
Deep Bay BC,1,NAm_north
Des Moines Marina WA,3,NAm_north
Dublin Ireland,1,EuropeNorth
Edmonds Underwater Park WA,1,NAm_north
La Rochelle France,3,EuropeSouth
Le Havre France,8,EuropeSouth
Lemmens Inlet BC,11,NAm_north
Longbranch Marina WA,1,NAm_north
Lyttelton New Zealand,1,NewZealand
Marlborough Sounds New Zealand,44,NewZealand
Mission Bay CA,1,NAm_south
Perros-Guirec France,2,EuropeSouth
Picton New Zealand,8,NewZealand
Pornic France,2,EuropeSouth
Port Nelson New Zealand,10,NewZealand
Poulsbo WA,2,NAm_north
Sausalito CA,3,NAm_south
South Island New Zealand,4,NewZealand
The Netherlands,16,EuropeNorth
Totten Inlet WA,2,NAm_north
Wales UK,10,EuropeNorth
Wellington New Zealand,1,NewZealand
Whangamata Habour New Zealand,14,NewZealand
Winchester Bay OR,10,NAm_north
Winslow Marina WA,1,NAm_north
